id,title,description,tiny_description,short_description,medium_description,long_description,price,shelf_time,campus_id,last_update,archived,taxable,category_names,vendor,source,notes,total_cal,num_servings,ingredients,calories,proteins,sugar,carbohydrates,fat,consumer_category,ws_case_size,kiosk_ship_qty,pick_station,fc_title,width_space,height_space,depth_space,slotted_width,tag_volume,delivery_option,tag_applied_by,,,,,
3217,Tea's Tea - Organic Unsweetened Black Tea,.,null,null,null,null,1.99,180,87,1491350939,1,0,drinks;tea,Ito En,Good Stuff,null,0,1,null,0,null,null,null,null,Drinks,null,null,null,null,null,null,null,null,null,M,null,,,,,
3218,Bean & Cheese Burrito,,null,null,null,null,5.5,1,87,1452123449,1,0,burrito,,null,null,null,null,null,null,null,null,null,null,Burritos,null,null,null,null,null,null,null,null,null,M,null,,,,,
3219,Tea's Tea - Unsweetened Green Jasmine,.,null,null,null,null,1.99,180,87,1470190597,1,0,drinks;tea,Ito En,Good Stuff,null,0,1,null,0,null,null,null,null,Drinks,null,null,null,null,null,null,null,null,null,M,null,,,,,
3220,Rustic Bakery - Rustic Bakery Pecan Shortbread,null,null,null,null,null,2.5,180,87,1510290115,1,0,Sweet Snacks & Dessert;Snacks,Rustic Bakery,Rustic Bakery,null,999,1,null,9999,null,null,null,null,Desserts,24,6,4,"Cookies, Brownies, Bars",3.25,4.5,1.25,3.25,null,M,null,,,,,
3221,Rustic Bakery Vanilla Bean Shortbread,,null,null,null,null,2.5,180,87,1469045973,1,0,Sweet Snacks & Dessert / Snacks,Rustic Bakery,Rustic Bakery,null,null,null,null,null,null,null,null,null,Desserts,null,null,null,null,null,null,null,null,null,M,null,,,,,
3222,Rustic Bakery - Vanilla Bean Shortbread,.,null,null,null,null,2.5,180,87,1510290115,1,0,Sweet Snacks & Dessert;Snacks,Rustic Bakery,Rustic Bakery,null,170,1,"organic wheat flour, butter, sugar, vallina, salt",170,2,7,20,9,Desserts,24,6,4,"Cookies, Brownies, Bars",3.25,4.5,1.25,3.25,null,M,null,,,,,
3266,Nona Lim Carrot Ginger Soup,,null,null,null,null,5.15,1,87,1447179461,1,0,soup,null,null,null,null,null,null,null,null,null,null,null,Soups & Salads,null,null,null,null,null,null,null,null,null,M,null,,,,,
3267,Nona Lim Thai Green Curry Soup,,null,null,null,null,6.15,1,87,1447179500,1,0,soup,null,null,null,null,null,null,null,null,null,null,null,Soups & Salads,null,null,null,null,null,null,null,null,null,M,null,,,,,
3268,Nona Lim Tomato Soup,,null,null,null,null,5.15,1,87,1447179549,1,0,soup,null,null,null,null,null,null,null,null,null,null,null,Soups & Salads,null,null,null,null,null,null,null,null,null,M,null,,,,,
3269,Nona Lim All Bean Chili,,null,null,null,null,5.15,1,87,1447179603,1,0,soup,null,null,null,null,null,null,null,null,null,null,null,Soups & Salads,null,null,null,null,null,null,null,null,null,M,null,,,,,
